id,win,assists,basicPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,deaths,detectorWardsPlaced,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,inhibitorTakedowns,itemsPurchased,killingSprees,kills,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,summonerLevel,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
NA14470982163,1,36,157.0,20,24004.0,69945,26,10,71380,65200,TOPJUNGLEMIDDLEBOTTOMUTILITY,2,0.0,3.0,122,6,34,16,4049,497641,85423,59562,230,321923,32373,67702,1714,136,866868,124048,0,134293,28606,590,813,1727,914,47302,6247,7024,11,25.0,146,10,18,62
NA14471000928,0,32,58.0,14,16032.0,35621,57,5,71425,77065,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,20.0,0.0,120,7,33,11,2155,267090,48220,83571,192,630685,65728,85570,1524,131,944199,130170,126,177109,31385,1074,763,868,1657,46420,16217,7963,4,55.0,114,5,8,52
NA14471000928,1,55,92.0,19,26287.0,86787,33,5,75170,72910,TOPJUNGLEMIDDLEBOTTOMUTILITY,4,0.0,7.0,117,14,56,22,3393,352565,80655,50599,200,394024,54685,100676,2218,94,777904,143309,0,168503,31587,399,640,650,1122,31310,7963,17222,11,20.0,109,9,6,47
NA14471398925,0,55,41.0,16,22251.0,103037,59,0,99791,97800,InvalidInvalidInvalidInvalidInvalid,1,5.0,1.0,125,9,50,17,1339,297957,74025,92755,96,400656,96430,86823,975,105,733316,190462,336,190031,16205,43,496,903,2015,34698,20002,10448,6,40.0,106,2,3,60
NA14471398925,1,66,6.0,18,28735.0,137479,50,2,105356,91890,InvalidInvalidInvalidInvalidInvalid,1,5.0,3.0,128,14,59,21,1477,329467,91546,74565,79,380826,76609,126940,1731,106,746435,178610,7091,222475,38427,7669,537,707,1925,36137,10448,20963,8,30.0,139,2,2,79
NA14471561054,0,64,35.0,25,11281.0,46584,47,13,75606,73190,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,25.0,0.0,136,9,46,16,3403,622738,108703,93181,198,307103,26750,91497,2500,181,980319,144092,2675,196391,45963,1239,804,2752,1384,50473,8634,11709,4,50.0,154,14,17,61
NA14471561054,1,72,75.0,22,26640.0,104263,47,9,75468,71230,TOPJUNGLEMIDDLEBOTTOMUTILITY,5,0.0,12.0,120,10,47,12,3209,425293,91211,110806,180,372741,68561,52060,2389,199,864589,167334,4210,167366,34006,1735,626,1607,1633,66550,7557,4497,9,25.0,153,10,17,57
NA14471592566,0,97,169.0,43,17016.0,89844,71,16,91013,92655,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,20.0,0.0,164,16,63,20,2748,316408,119981,159721,237,725535,126159,134705,1558,296,1139897,268515,1307,310685,109816,1610,702,3833,2563,97946,22370,16254,6,45.0,249,19,35,104
NA14471592566,1,122,190.0,24,16411.0,120906,63,3,96919,87345,TOPJUNGLEMIDDLEBOTTOMUTILITY,4,0.0,11.0,136,16,71,18,2570,542417,157106,125234,141,352637,97808,165748,1732,376,952591,272339,5324,316153,130210,4004,621,2002,2225,57532,17419,25167,9,30.0,187,0,35,94
NA14471596106,0,40,48.0,26,7155.0,31144,44,13,53527,52225,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,124,9,33,11,1755,65918,7805,43665,81,296461,59369,64407,1685,138,396038,77811,1052,115671,27107,5420,429,1223,1141,33657,10635,7595,3,30.0,153,13,25,54
