id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,region
LNF1rXITYfWKX9QKcaoNif3luQs5j02Kbb3uGqw_5aaKfjYj85-oVxMBKA,ngy41trnN5aPngbQjzZSLbaLqf_aBPbOucxpH-1DY7FgTt6J1ycuIqW7,rx8xR9Pvh38rXg7eGSSWpTLYxSGMvG_8yItG68K8Fnb_yONrfIcP5EdIGZA3K6yCJYhhhCWvLvLFsA,Caps,79,1666882085000,10,EUW1
S9lAjI7jLGilCMNDBMSOnUfLe1irdXsDYIc0yn5flQT_TwxtedU94aandA,ZvgV0NKQVxvhOLymLGomZF5xGdxPcWhe1N_ojnQq3I40Va4ZysGx-sSn,2wtQgLrVT7EMbypdDiUfDxthYgC71oc2JXkQWUyCcQ9-GLF4IRg6x_bYvxOgR8Eu0oU6ruPpycqenA,Flakked,29,1662678492000,1,EUW1
CLcezMblv8a9Bge-ZcJRKcxkrZX9_tRxfkeQztr_xza-JHc,X-gS3Agf5_aStd_QfKo6Mmyt-tya8LfGe5sWdBA5OL5OkA,gfVUr4x4_9VKH6hl3qZ0C-bQvLpLO5VIilf-evy-LrW0brODLPKo0nzWMFYUdsVySLHz5i_IDkF96g,Targamas,5435,1667511392000,641,EUW1
kEX0j6hg6LdfQsI-4-YZ6-oYi_tazia4_MF7hhVAhU1OenU,phzACMsWhgGwu7YTo3BXdONq5B7IS9jK08ubdI38rhAwWWI,VypN7oqo2J5ZgSlw2preuthHd0A8tpw6IYJjNu2cqm14iyKcFqv3CBFvK4WBMV8WVpwJIHmvZ7J-XA,Fudge,1625,1665638129000,261,NA1
tAPjBskLKKZhGDjJJ8RX2RUWOZgpDwuvGVWDwwc94zVNkaI,A87U-oQKzIhlgMAmiqe5LtA1XZI8-TUHFPG5CboG7SVxI7A,KlLKjT4up8Y6aHIZKMynVpfLwEdETFloiVdSMygwVqqAIoZFK-kNMnzzwLIsQegcMXEDMLW-XcMKVA,Blaber,3263,1661644532000,217,NA1
euKcjw1-VI-tqCF2xYCQ4bwtF9Xn1jSyB-WeXW-Zr9BcpT4,oz8KbgOaGnMFQz5WGR2KvWFL8j0i_FpUjjVpWR6E4gTKfg,JKOBWLCeCsVF60CLnX-pcAhVzdo7JGL-EWeqhxpj_L-AumDw7Z0srBsZuBJDLBal4T0Sql5xnoorBQ,Jensen,5525,1667801931000,410,NA1
QfukXKH2lIjETfQMUqY7qSlxK3LDfCGQXFt-zpxhW07v8es,BT6aOlPmG6t28CzwNliGdANR4_wZnXLiVsSReYXwxUukDQ,ciFALg-b5GUt9_RSwOzukgJso3vwSyqmUUpCHuFK4PPc58TEPi5r7qVQ6RON4l1KGv2hebVk0127SA,Berserker,5508,1667750727389,403,NA1
0rIAy1VeomhXWh0S_fR1r1SwZAJ_7En55aHOwhELCYA7VAUVO2ojep3nyg,jXHUIjexxL-re21eGENipVjqp0t56smPckoBoINgqd-ar-KXmcAmSJ-R,nuM2IhXPrhS4He3oUlGTNUR2j6ySZMrlBua-tGuB71-1Hk_G_nxN8i3YFgvdSQRwCc7Ua7JxnkdZlA,Zven,7,1666767911000,41,NA1
kXjzCeOxdrLK-wNm_N3VYk-RVsTeYQRNdMGohG2PDfpI9oqpc0FrxSwUOw,YAVsXr3rPFZXFcjESQnxEd3PLx471ubGlP8eWGA9ZydKJHie5IgeNNQN,K1S-Cle0QErpa1dR6U6orLZDtWDd7QCQqQ6Ld3NtGubcBp4sfJtcdgg9UqwLvn8OFPrkEgb9ujD-zA,Ssumday,4881,1666660583000,34,NA1
REUR9b8GSlZtALA3wlkp5bQNZ-Z38n__Y4LkEIv7Vu2gbQ,QXwY-Q5glNLlhLsm9uORjnN_YWEIbDBPas2M37McpyQOx6c,QdQPB6SlSzvN6zGU7UK7lj0gj1EY5sSiZW1LY8lXzbKug3F5tFE7pkYMnQBL4t_Xsq1CyoMbz5IQXQ,Closer,4794,1662676979000,251,TR1
